File	Contig_NA50	Contig_breakpoints	Scaffold_NA50	Scaffold_breakpoints	Total_breakpoints
abyss/2.0.1/k64/organelles.psitchensis-scaftigs.sam	1843	39	1988	5	44
abyss/2.0.1/k80/organelles.psitchensis-scaftigs.sam	6325	89	6689	20	109
abyss/2.0.1/k83/organelles.psitchensis-scaftigs.sam	7716	102	8245	22	124
abyss/2.0.1/k84/organelles.psitchensis-scaftigs.sam	7908	112	8791	23	135
abyss/2.0.1/k85/organelles.psitchensis-scaftigs.sam	8485	95	9640	25	120
abyss/2.0.1/k88/organelles.psitchensis-scaftigs.sam	9513	112	10940	31	143
abyss/2.0.1/k92/organelles.psitchensis-scaftigs.sam	9769	102	12251	36	138
abyss/2.0.1/k96/organelles.psitchensis-scaftigs.sam	9637	112	13128	56	168
abyss/2.0.1/k98/organelles.psitchensis-scaftigs.sam	8701	122	12498	68	190
abyss/2.0.1/k100/organelles.psitchensis-scaftigs.sam	8457	114	12914	79	193
abyss/2.0.1/k102/organelles.psitchensis-scaftigs.sam	7719	104	12900	89	193
abyss/2.0.1/k104/organelles.psitchensis-scaftigs.sam	6612	106	12628	110	216
abyss/2.0.1/k108/organelles.psitchensis-scaftigs.sam	4830	102	10383	101	203
abyss/2.0.1/k112/organelles.psitchensis-scaftigs.sam	3206	75	7838	115	190
abyss/2.0.1/k128/organelles.psitchensis-scaftigs.sam	666	0	677	0	0
abyss/2.0.1/k64/kc3/organelles.psitchensis-scaftigs.sam	5965	89	7440	28	117
abyss/2.0.1/k68/kc3/organelles.psitchensis-scaftigs.sam	7520	99	9181	38	137
abyss/2.0.1/k72/kc3/organelles.psitchensis-scaftigs.sam	8229	107	11442	44	151
abyss/2.0.1/k74/kc3/organelles.psitchensis-scaftigs.sam	8747	108	11874	54	162
abyss/2.0.1/k76/kc3/organelles.psitchensis-scaftigs.sam	9339	100	12703	54	154
abyss/2.0.1/k79/kc3/organelles.psitchensis-scaftigs.sam	9247	101	12947	59	160
abyss/2.0.1/k80/kc3/organelles.psitchensis-scaftigs.sam	9385	94	13061	64	158
abyss/2.0.1/k82/kc3/organelles.psitchensis-scaftigs.sam	8965	96	12833	72	168
abyss/2.0.1/k83/kc3/organelles.psitchensis-scaftigs.sam	8793	98	12833	78	176
abyss/2.0.1/k84/kc3/organelles.psitchensis-scaftigs.sam	8970	106	13207	84	190
abyss/2.0.1/k85/kc3/organelles.psitchensis-scaftigs.sam	8658	97	12963	85	182
abyss/2.0.1/k86/kc3/organelles.psitchensis-scaftigs.sam	8487	93	12805	97	190
abyss/2.0.1/k87/kc3/organelles.psitchensis-scaftigs.sam	8117	107	12656	98	205
abyss/2.0.1/k88/kc3/organelles.psitchensis-scaftigs.sam	7906	99	12571	95	194
abyss/2.0.1/k89/kc3/organelles.psitchensis-scaftigs.sam	7506	100	12933	102	202
abyss/2.0.1/k96/kc3/organelles.psitchensis-scaftigs.sam	5006	113	9843	103	216
abyss/2.0.1/k112/kc3/organelles.psitchensis-scaftigs.sam	1731	36	2083	25	61
abyss/2.0.1/k128/kc3/organelles.psitchensis-scaftigs.sam	14173	0	20809	0	0
abyss/2.0.1/k64/kc4/organelles.psitchensis-scaftigs.sam	8644	103	10494	36	139
abyss/2.0.1/k74/kc4/organelles.psitchensis-scaftigs.sam	10390	111	13636	42	153
