c	e	r	a	l	NG50	Index
1	1000	0.000000	0.000000	1	26323	1
3	25500	0.500000	0.500000	3	77046	2
5	50000	1.000000	0.987509	5	128667	3
5	50000	0.824251	1.000000	1	208561	4
1	50000	0.995163	1.000000	1	260475	5
1	50000	1.000000	1.000000	1	249987	6
1	50000	0.920969	1.000000	1	216922	7
5	1000	0.995985	1.000000	1	27110	8
1	50000	0.999444	0.000000	1	26323	9
5	50000	0.000000	0.853519	1	26323	10
1	45712	0.990227	1.000000	3	235431	11
1	2019	0.999507	1.000000	1	178158	12
1	50000	0.993107	1.000000	1	278884	13
1	49909	0.980381	0.994000	1	235431	14
1	50000	0.990248	0.998102	1	235431	15
1	50000	0.993774	0.876777	1	189972	16
1	49988	0.992487	1.000000	4	219921	17
5	1000	0.992945	0.877958	1	27110	18
1	50000	0.987387	0.974292	1	235431	19
1	49937	0.988719	0.769206	1	106985	20
1	10108	0.993155	0.211667	1	37511	21
1	50000	0.993091	1.000000	1	278884	22
5	50000	0.902784	0.000000	5	26323	23
1	1000	0.440626	0.997579	5	60569	24
1	50000	0.982265	1.000000	1	267815	25
1	49965	0.990195	1.000000	1	254549	26
1	1000	0.992969	1.000000	1	101032	27
1	49466	0.968245	1.000000	1	233012	28
1	25697	0.977175	0.999962	4	219921	29
1	1274	0.999998	1.000000	1	144500	30
5	37253	0.979474	1.000000	1	202823	31
1	50000	0.989929	1.000000	1	235431	32
5	1000	0.934027	1.000000	1	27151	33
1	50000	0.881991	1.000000	5	219921	34
1	50000	0.971076	1.000000	4	219921	35
1	50000	0.894351	0.753852	1	106985	36
1	49416	0.986050	1.000000	1	244628	37
1	50000	0.980431	0.999997	3	235431	38
1	49772	0.993224	1.000000	1	233012	39
1	48170	0.845944	1.000000	5	219921	40
1	49982	0.754330	1.000000	5	219921	41
1	50000	0.993664	1.000000	1	260475	42
1	1000	1.000000	1.000000	1	120757	43
1	1000	0.969998	0.028038	5	26323	44
5	50000	0.984184	0.995398	1	171233	45
5	43576	0.797493	1.000000	5	128667	46
5	41645	0.970724	0.987101	5	128667	47
1	48882	0.982779	1.000000	4	219921	48
3	48695	0.987929	1.000000	2	216647	49
1	50000	0.857025	1.000000	1	334441	50
1	50000	0.841471	1.000000	1	235106	51
5	50000	0.863541	1.000000	1	225814	52
1	50000	0.857035	0.760201	1	106985	53
1	50000	0.862652	1.000000	1	235431	54
2	50000	0.853637	1.000000	1	225254	55
5	50000	0.858085	1.000000	2	205375	56
1	50000	0.854351	1.000000	1	260475	57
1	49993	0.857854	1.000000	1	278884	58
1	46287	0.837138	0.983219	5	219921	59
1	50000	0.856476	1.000000	1	235431	60
1	50000	0.965308	1.000000	1	278884	61
5	2077	0.966330	1.000000	5	26323	62
1	41077	0.857245	1.000000	1	235431	63
1	50000	0.963473	1.000000	1	235431	64
1	50000	0.857281	1.000000	1	250214	65
1	50000	0.856895	1.000000	1	249987	66
1	50000	0.857629	1.000000	1	254549	67
1	50000	0.964800	1.000000	1	278884	68
1	49701	0.857077	1.000000	1	195876	69
5	50000	0.981409	0.887342	2	171233	70
5	49997	0.857779	0.985484	1	171233	71
1	50000	0.965053	0.991586	1	235431	72
1	50000	0.854063	1.000000	1	240420	73
1	42988	1.000000	1.000000	1	235431	74
4	50000	0.964225	1.000000	2	205792	75
5	37574	0.964712	0.981610	2	171233	76
3	15878	0.982369	0.994871	5	202627	77
1	50000	0.856992	1.000000	1	235431	78
1	50000	0.857059	1.000000	1	278884	79
4	48551	0.965254	0.994464	5	169392	80
1	45660	0.986826	0.999999	5	219921	81
1	49917	0.857912	0.998785	1	235431	82
2	50000	0.982530	0.994037	3	235431	83
1	47777	0.982059	1.000000	3	235431	84
1	49611	0.857587	1.000000	1	260475	85
1	49340	0.857033	1.000000	1	270229	86
2	50000	0.986402	0.987329	1	235431	87
1	50000	0.856826	0.998054	1	235431	88
2	28497	0.857615	0.884401	5	148993	89
1	23956	0.986109	0.925105	1	235431	90
4	43592	0.985606	0.965250	5	169392	91
1	50000	0.857874	0.973807	1	235431	92
1	50000	0.857032	1.000000	5	219921	93
1	17649	1.000000	1.000000	1	283154	94
2	50000	0.964673	0.846146	1	128667	95
2	16586	0.986949	0.995744	1	231866	96
1	50000	0.965553	1.000000	1	260475	97
3	50000	0.965410	0.909057	1	200698	98
3	21149	0.995301	1.000000	2	222387	99
1	14158	1.000000	0.949306	5	219921	100
1	44838	0.857324	0.992597	1	235431	101
1	37594	0.857854	1.000000	1	260475	102
1	38179	0.965426	1.000000	2	233012	103
5	38345	0.857844	0.773421	3	130378	104
1	46291	0.986785	0.889770	4	156736	105
1	50000	0.857033	0.990831	1	235431	106
4	50000	0.981444	1.000000	1	225254	107
5	50000	0.854350	0.820292	4	130378	108
2	8971	0.986067	1.000000	1	297120	109
1	1386	0.986177	0.998974	1	106373	110
1	23954	0.986101	1.000000	1	219715	111
3	11635	0.985590	1.000000	1	206562	112
5	10482	0.986432	1.000000	1	180786	113
4	17785	0.985991	0.241517	1	49263	114
5	45717	0.990093	0.906513	5	128667	115
1	8939	0.986356	1.000000	5	229763	116
1	49639	0.982286	0.884749	1	189972	117
1	49931	0.857023	0.999998	1	235431	118
2	14765	0.986096	0.999982	5	213351	119
5	27832	1.000000	1.000000	1	211470	120
1	50000	0.857018	1.000000	1	235431	121
4	49955	0.980125	0.994516	2	171233	122
2	27536	0.986317	0.953560	4	235431	123
1	49695	0.857594	0.999998	1	235431	124
4	50000	0.964863	1.000000	3	194870	125
1	49914	0.857861	1.000000	1	233012	126
1	50000	0.857051	1.000000	1	260475	127
1	49993	0.857843	1.000000	1	249987	128
1	49999	0.857057	0.999246	1	235431	129
1	50000	0.981899	1.000000	1	235431	130
1	49976	0.857850	0.998967	1	235431	131
5	17895	1.000000	0.870600	1	144571	132
1	8967	0.985767	0.999999	5	229763	133
3	49867	0.980608	0.998315	1	200698	134
1	50000	0.857027	1.000000	1	235431	135
2	50000	0.964790	1.000000	2	225254	136
3	41885	0.994673	1.000000	2	216647	137
1	50000	0.857278	0.999371	1	235431	138
2	14624	0.987457	0.995770	4	213351	139
3	43620	0.986254	1.000000	1	225254	140
1	50000	0.857279	0.999503	1	235431	141
1	12286	0.857059	0.845687	2	156736	142
5	21417	0.985948	1.000000	4	131640	143
1	49974	0.857062	0.999793	1	235431	144
5	50000	0.982163	1.000000	2	200659	145
3	9258	0.986016	0.928221	3	171233	146
1	50000	0.965563	0.011500	3	26323	147
2	48747	0.854061	0.713196	5	110871	148
1	49950	0.857323	0.993484	1	235431	149
5	44746	0.987545	0.819519	1	156319	150
2	46549	0.982678	0.764649	3	110871	151
5	47743	0.981715	1.000000	2	205375	152
3	23284	0.964799	0.648132	5	99638	153
3	49670	0.986158	0.932193	1	200698	154
1	22728	0.965374	0.969788	2	235431	155
2	28936	0.965406	0.461243	1	67736	156
2	4816	0.985922	1.000000	1	203562	157
1	50000	0.856892	1.000000	1	246395	158
5	39703	0.968245	0.923157	1	171233	159
4	50000	0.965337	0.997847	5	169392	160
1	37792	0.981877	0.999989	1	235431	161
1	50000	0.982112	1.000000	5	219921	162
1	50000	0.856473	1.000000	1	246395	163
1	45348	0.857034	1.000000	1	260475	164
1	50000	0.857626	0.999116	1	235431	165
2	49233	0.982381	1.000000	5	225254	166
1	49273	0.857856	0.999122	1	235431	167
1	49980	0.857284	1.000000	1	235431	168
2	10325	0.986243	1.000000	1	217075	169
1	48439	0.981905	0.889226	3	189972	170
5	26160	0.982031	1.000000	1	211470	171
1	49789	0.857245	0.999382	1	235431	172
5	26466	0.981812	0.891785	1	156319	173
1	49945	0.857585	0.997498	1	235431	174
4	45121	0.965517	0.950291	5	169392	175
2	22730	0.977354	0.999975	3	235431	176
3	21337	0.977274	0.874023	3	157370	177
1	39359	0.977431	0.984985	1	235431	178
3	29651	0.977462	0.976808	2	222387	179
1	39359	0.977317	0.984985	1	235431	180
1	5647	0.987045	0.951550	4	190739	181
1	49969	0.857840	1.000000	1	260475	182
1	49969	0.857590	1.000000	1	195876	183
1	50000	0.857025	0.999250	1	235431	184
4	45123	0.977354	0.950256	5	169392	185
3	34215	0.857059	0.597778	1	85371	186
1	21674	1.000000	0.155160	5	32147	187
3	38396	0.857912	0.170410	1	36953	188
3	14410	1.000000	0.573787	1	92172	189
1	49935	0.856474	0.999005	1	235431	190
1	49967	0.857019	0.998924	1	235431	191
2	45752	0.990218	0.454773	5	67736	192
2	25849	0.993846	1.000000	4	225254	193
1	25821	0.993075	1.000000	5	219921	194
4	50000	0.995007	0.992405	3	171233	195
3	27896	0.982299	1.000000	5	222387	196
1	50000	0.856470	0.998975	1	235431	197
3	50000	0.982062	0.984155	5	200698	198
2	49850	0.986387	0.735322	1	110871	199
3	30970	0.982481	0.826965	4	143534	200
3	34563	0.980434	0.955973	2	200698	201
5	15209	0.965053	0.706483	3	110536	202
1	49914	0.856823	1.000000	1	260475	203
1	10381	1.000000	1.000000	1	235431	204
1	49970	0.857857	1.000000	1	235431	205
1	50000	0.993091	0.995536	3	235431	206
3	19056	0.982224	1.000000	2	216647	207
5	5457	0.986046	1.000000	5	31482	208
2	15277	0.997398	0.999824	1	235431	209
3	15913	0.981943	1.000000	5	202627	210
1	16245	1.000000	1.000000	5	195876	211
2	50000	0.993806	0.996673	1	235431	212
1	50000	0.995682	1.000000	1	283383	213
1	50000	0.995456	1.000000	4	219921	214
1	42258	0.996043	1.000000	1	235431	215
1	39359	0.977618	0.984986	1	235431	216
1	50000	0.857035	0.999934	1	235431	217
1	49930	0.857836	1.000000	1	260475	218
1	49944	0.856820	0.998241	1	235431	219
3	21337	0.977606	0.874023	3	157370	220
1	49942	0.857060	0.996052	1	235431	221
1	12285	0.856472	0.845673	2	156736	222
3	45395	0.845944	0.428955	5	67325	223
2	34771	0.986557	0.994570	5	235431	224
5	50000	0.980431	0.991675	5	128667	225
1	49993	0.857318	0.999605	1	235431	226
3	29685	0.977043	1.000000	2	222387	227
1	49949	0.857053	1.000000	1	235431	228
1	43511	0.857585	1.000000	1	260475	229
1	50000	0.990845	1.000000	2	235431	230
1	49993	0.857598	0.998654	1	235431	231
1	50000	0.857907	0.998864	1	235431	232
1	26031	0.977033	0.890354	3	189972	233
1	50000	0.857633	0.998829	1	235431	234
1	48386	0.857279	1.000000	1	326054	235
1	22728	0.965433	0.969791	2	235431	236
1	44610	0.857279	1.000000	1	260475	237
1	50000	0.857853	0.998524	1	235431	238
1	49947	0.857051	0.991443	1	235431	239
3	15840	0.982102	0.972788	5	202627	240
4	36227	0.977278	0.999976	1	171233	241
1	49048	0.857582	1.000000	1	235431	242
1	20891	0.986670	1.000000	2	233012	243
5	11998	0.979516	0.968721	1	132980	244
1	49994	0.854355	1.000000	1	235431	245
1	32693	0.977503	1.000000	1	278884	246
1	18350	0.986466	0.994263	5	219921	247
2	34775	0.987118	0.998058	5	235431	248
1	49989	0.856997	0.999882	1	235431	249
1	50000	0.857239	1.000000	1	260475	250
1	47730	0.987408	0.999576	2	235431	251
1	49232	0.857326	1.000000	1	260475	252
1	49998	0.856899	0.998700	1	235431	253
1	49486	0.857047	1.000000	1	238886	254
4	43633	0.857597	0.563904	3	99638	255
1	49899	0.857015	0.982907	1	235431	256
1	48809	0.856894	0.997079	1	235431	257
4	19127	0.856996	0.784485	5	108258	258
5	10971	0.856823	0.962769	3	108258	259
1	49916	0.857832	1.000000	1	260475	260
4	20024	0.980690	0.962463	1	171233	261
1	49979	0.857637	1.000000	1	260475	262
1	50000	0.857866	1.000000	1	260475	263
1	49950	0.856832	0.999283	1	235431	264
2	43162	0.971076	0.521210	4	68130	265
4	28320	0.986987	1.000000	2	205792	266
1	11176	0.987878	1.000000	1	235431	267
2	33595	0.987638	1.000000	1	235431	268
1	49970	0.857869	0.996383	1	235431	269
1	28686	0.987924	0.995993	5	219921	270
2	34778	0.977450	1.000000	5	235431	271
1	50000	0.857872	1.000000	1	235431	272
1	50000	0.857329	1.000000	1	235431	273
4	3606	0.987878	0.992562	1	69197	274
1	49996	0.857827	1.000000	1	260475	275
1	50000	0.857249	1.000000	1	246395	276
1	49967	0.857236	0.998897	1	235431	277
1	11181	0.985156	1.000000	1	221109	278
1	50000	0.987219	0.999998	4	219921	279
3	17117	0.984810	1.000000	1	222387	280
1	33062	0.987421	0.972833	1	235431	281
1	39262	0.985013	1.000000	4	219921	282
1	11253	0.984967	0.979009	1	221109	283
1	37687	0.984744	0.987966	4	219921	284
4	6378	0.984689	0.981964	1	99211	285
1	43508	0.857249	0.996169	1	235431	286
2	39027	0.985055	0.666687	5	98017	287
1	49936	0.857903	1.000000	1	296607	288
1	50000	0.856838	0.999321	1	235431	289
2	50000	0.963473	0.449980	3	67325	290
2	45245	0.980316	0.136353	1	32089	291
1	50000	0.857830	0.990590	1	235431	292
1	49495	0.857290	1.000000	1	235431	293
1	49996	0.857604	1.000000	1	260475	294
1	50000	0.857878	0.999233	1	235431	295
1	46884	0.857838	0.996773	1	235431	296
1	49029	0.987682	0.971708	5	219921	297
1	49298	0.857278	1.000000	1	235431	298
2	10053	0.754330	0.982605	5	241033	299
2	10053	0.754333	0.982605	5	241033	300
1	28039	1.000000	1.000000	1	283154	301
2	25319	0.987095	0.885694	3	148993	302
1	50000	0.965024	0.810655	3	170396	303
1	50000	0.964214	0.863357	3	189972	304
1	49934	0.857084	1.000000	1	353388	305
